,moving_time,distance,average_heartrate,relative_effort,time_z1,time_z2,time_z3,time_z4,time_z5,TRIMP,TRIMP_score,Relative Effort,diff_re
35,10800,30000.0,185.0,745.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,14400.0,0.05173611111111111
36,7200,20000.0,185.0,496.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,9600.0,0.051666666666666666
38,1800,5000.0,185.0,124.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,2400.0,0.051666666666666666
37,3600,10000.0,185.0,248.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,4800.0,0.051666666666666666
19,10800,30000.0,180.0,705.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,14400.0,0.04895833333333333
34,3600,10000.0,180.0,235.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,4800.0,0.04895833333333333
33,7200,20000.0,180.0,470.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,9600.0,0.04895833333333333
32,1800,5000.0,180.0,117.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,2400.0,0.04875
7,1800,5000.0,200.0,145.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,3000.0,0.04833333333333333
6,3600,10000.0,200.0,290.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,6000.0,0.04833333333333333
11,10800,30000.0,193.0,811.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,18000.0,0.04505555555555556
12,7200,20000.0,193.0,540.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,12000.0,0.045
13,3600,10000.0,193.0,270.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,6000.0,0.045
14,1800,5000.0,193.0,135.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,3000.0,0.045
15,10800,30000.0,190.0,786.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,18000.0,0.043666666666666666
16,7200,20000.0,190.0,524.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,12000.0,0.043666666666666666
17,1800,5000.0,190.0,131.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,3000.0,0.043666666666666666
18,3600,10000.0,190.0,262.0,0.0,0.0,0.0,0.0,1.0,500.0,100.0,6000.0,0.043666666666666666
40,7200,20000.0,175.0,360.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,9600.0,0.0375
42,1800,5000.0,175.0,90.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,2400.0,0.0375
41,3600,10000.0,175.0,180.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,4800.0,0.0375
39,10800,30000.0,175.0,540.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,14400.0,0.0375
43,10800,30000.0,170.0,509.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,14400.0,0.035347222222222224
44,7200,20000.0,170.0,339.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,9600.0,0.0353125
3,3600,10000.0,170.0,169.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,4800.0,0.035208333333333335
45,10800,30000.0,165.0,379.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,10800.0,0.03509259259259259
47,3600,10000.0,165.0,126.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,3600.0,0.035
48,1800,5000.0,165.0,63.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,1800.0,0.035
8,1800,5000.0,170.0,84.0,0.0,0.0,0.0,1.0,0.0,400.0,80.0,2400.0,0.035
46,7200,20000.0,165.0,252.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,7200.0,0.035
29,7200,20000.0,160.0,223.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,7200.0,0.030972222222222224
20,10800,30000.0,160.0,334.0,0.0,0.0,1.0,0.0,0.0,300.0,60.0,10800.0,0.030925925925925926
